Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,26:59,24,10,15,67,0,3,0,4,4,100,0,4,4,3,2,4,0,1
Maffioli,28:23,3,1,5,20,0,2,0,3,4,75,0,1,1,2,1,1,0,1
Squassina,21:30,2,1,1,100,0,0,0,1,1,100,0,2,2,2,3,0,0,1
Sacchi,24:49,3,1,2,50,1,2,50,0,0,0,0,2,2,1,0,0,0,1
Montanari,18:57,5,2,3,67,0,0,0,1,2,50,0,2,2,3,0,0,0,1
Della,24:49,3,1,2,50,1,2,50,0,0,0,2,0,2,0,0,0,0,1
Silva,37:39,15,5,8,63,0,0,0,5,10,50,2,4,6,3,1,1,0,3
Orbon,11:42,16,5,7,71,4,6,67,2,4,50,0,2,2,0,0,0,0,1
Pisati,06:31,4,2,3,67,0,1,0,0,0,0,2,0,2,0,0,0,0,1
Cremona,26:16,5,2,6,33,1,5,20,0,0,0,0,3,3,1,0,0,0,2
Cantù,18:31,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3
Portaro,15:19,7,3,3,100,0,0,0,1,2,50,2,2,4,0,1,0,1,3
