Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,26:59,24,10,15,67,0,3,0,4,4,100,0,4,4,3,2,4,0,1
Maffioli,12:14,5,2,5,40,1,4,25,0,0,0,0,1,1,2,1,0,0,2
Squassina,13:16,0,0,3,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1
Sacchi,13:12,4,2,3,67,0,0,0,0,1,0,1,1,2,2,0,0,0,0
Montanari,15:30,5,2,3,67,1,1,100,0,0,0,0,0,0,1,0,1,0,2
Della,13:10,8,3,7,43,2,3,67,0,0,0,1,1,2,0,0,0,0,3
Silva,31:28,9,3,5,60,0,0,0,3,4,75,1,2,3,1,2,3,0,0
Orbon,17:53,10,5,6,83,0,0,0,0,0,0,1,4,5,1,1,0,1,0
Pisati,12:13,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2
Cremona,18:08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Cantù,21:00,8,3,8,38,1,6,17,1,2,50,0,3,3,1,1,2,0,0
Portaro,24:19,6,2,5,40,0,1,0,2,2,100,0,1,1,2,2,0,1,4
