Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,27:16,13,4,11,36,2,6,33,3,7,43,1,3,4,1,1,1,0,2
Sorrentino,24:15,10,3,5,60,2,3,67,2,4,50,0,6,6,3,3,2,0,2
Maffioli,15:20,0,0,2,0,0,2,0,0,0,0,1,1,2,1,1,2,0,2
Sacchi,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Della,17:12,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Silva,26:56,15,3,10,30,0,1,0,9,13,69,4,1,5,0,1,1,0,4
Orbon,11:16,5,2,2,100,0,0,0,1,1,100,0,1,1,0,1,0,0,2
Maspero,17:46,4,1,1,100,0,0,0,2,4,50,2,3,5,1,1,0,1,2
Cremona,15:55,3,1,5,20,0,3,0,1,1,100,0,1,1,1,0,1,0,3
Cantù,20:04,10,3,7,43,2,6,33,2,2,100,0,3,3,1,2,0,0,0
Portaro,12:37,1,0,1,0,0,0,0,1,2,50,0,3,3,2,0,0,0,2
Ardizzoia,11:20,7,3,3,100,1,1,100,0,0,0,0,2,2,2,1,0,0,2
