Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,26:48,3,0,7,0,0,4,0,3,6,50,0,7,7,4,1,2,0,1
Maffioli,05:17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Squassina,15:30,2,1,3,33,0,0,0,0,0,0,0,2,2,2,2,0,0,1
Sacchi,13:41,11,4,5,80,3,4,75,0,1,0,0,1,1,0,0,0,0,0
Della,14:54,6,2,4,50,2,4,50,0,0,0,0,1,1,2,0,0,0,1
Silva,27:20,12,2,10,20,0,0,0,8,11,73,5,0,5,3,1,2,0,3
Orbon,16:09,8,2,4,50,0,0,0,4,6,67,3,3,6,1,1,1,1,2
Maspero,08:45,2,1,3,33,0,0,0,0,0,0,2,2,4,0,0,0,0,2
Cremona,20:32,5,2,9,22,1,4,25,0,0,0,1,4,5,2,1,1,0,1
Cantù,24:47,8,2,5,40,2,4,50,2,2,100,0,1,1,2,2,0,0,3
Portaro,15:48,2,1,1,100,0,0,0,0,0,0,0,2,2,3,1,0,0,1
Ardizzoia,10:57,3,1,3,33,1,2,50,0,0,0,0,3,3,1,0,0,0,1
