Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,25:41,21,8,17,47,2,6,33,3,5,60,1,4,5,3,2,2,0,2
Silva,27:30,13,5,11,45,0,0,0,3,5,60,3,3,6,1,1,1,0,3
Della,15:30,10,4,12,33,2,5,40,0,0,0,1,0,1,1,0,0,0,1
Sorrentino,26:23,9,2,4,50,1,2,50,4,6,67,0,5,5,3,3,2,0,3
Cremona,19:48,7,2,10,20,2,10,20,1,1,100,0,2,2,2,0,1,0,2
Montanari,12:48,6,3,5,60,0,0,0,0,0,0,1,1,2,2,1,0,0,1
Orbon,14:18,4,2,2,100,0,0,0,0,0,0,1,2,3,1,0,0,0,1
Cantù,19:30,3,1,3,33,0,0,0,1,1,100,0,2,2,2,1,0,0,1
Portaro,15:30,2,1,2,50,0,0,0,0,0,0,0,2,2,3,1,1,0,2
Maffioli,14:35,1,0,0,0,0,0,0,1,2,50,0,1,1,1,1,1,0,2
Ardizzoia,14:30,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,1
Squassina,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
