Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,23:50,11,4,4,100,3,3,100,0,0,0,0,2,2,0,2,1,0,2
Falgares,10:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sorrentino,26:27,4,2,6,33,0,3,0,0,2,0,0,5,5,3,7,3,0,7
Maffioli,15:33,5,2,4,50,0,0,0,1,2,50,0,0,0,1,2,2,0,0
Squassina,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacchi,12:26,5,1,3,33,0,2,0,3,3,100,0,1,1,0,0,0,0,0
Montanari,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Della,16:39,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
Silva,28:04,6,3,5,60,0,0,0,0,4,0,3,2,5,1,1,1,0,0
Orbon,18:19,2,1,3,33,0,0,0,0,0,0,3,1,4,0,0,0,0,0
Maspero,16:49,4,2,7,29,0,1,0,0,0,0,2,4,6,0,0,0,0,1
Portaro,12:25,6,3,6,50,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Ardizzoia,13:23,5,1,4,25,1,3,33,2,2,100,0,1,1,0,2,0,0,0
