Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,25:11,9,3,10,30,1,4,25,2,2,100,1,3,4,6,2,2,0,2
Sorrentino,33:01,12,5,8,62,2,4,50,0,0,0,0,8,8,3,4,2,0,1
Maffioli,14:31,2,1,3,33,0,2,0,0,0,0,0,0,0,2,0,2,0,1
Sacchi,06:11,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Della,13:56,2,1,4,25,0,1,0,0,0,0,1,0,1,2,1,0,0,1
Silva,29:26,19,6,12,50,0,1,0,7,11,64,4,5,9,0,2,0,0,2
Orbon,14:57,6,3,3,100,0,0,0,0,0,0,0,2,2,0,0,0,0,2
Maspero,12:57,2,1,3,33,0,0,0,0,0,0,2,6,8,0,0,0,0,0
Pisati,02:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cremona,19:51,6,3,5,60,0,2,0,0,0,0,0,2,2,6,0,1,0,4
Cantù,20:43,9,3,6,50,3,6,50,0,0,0,0,1,1,2,2,0,0,0
Ardizzoia,15:19,0,0,8,0,0,6,0,0,0,0,1,0,1,0,1,0,0,3
