Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,22:14,3,1,1,100,0,0,0,1,4,25,1,6,7,3,3,3,0,2
Sorrentino,20:21,13,4,6,67,2,3,67,3,4,75,0,2,2,1,3,3,0,3
Maffioli,12:56,7,3,5,60,1,1,100,0,0,0,2,1,3,0,0,2,0,3
Sacchi,15:27,2,1,3,33,0,1,0,0,0,0,0,1,1,0,0,1,0,1
Montanari,12:08,2,1,3,33,0,1,0,0,0,0,2,0,2,2,2,0,0,0
Della,14:20,2,1,6,17,0,3,0,0,2,0,1,0,1,1,0,1,0,1
Silva,23:20,15,6,13,46,0,1,0,3,5,60,3,4,7,0,0,0,0,4
Maspero,17:15,5,2,5,40,1,1,100,0,2,0,3,3,6,4,1,1,0,1
Cremona,18:58,7,2,5,40,1,3,33,2,2,100,0,2,2,2,0,0,0,1
Cantù,14:48,3,1,3,33,1,3,33,0,0,0,0,0,0,1,0,0,0,0
Portaro,15:49,8,2,2,100,1,1,100,3,5,60,0,2,2,3,0,3,0,0
Ardizzoia,12:11,6,1,2,50,1,1,100,3,6,50,0,0,0,1,2,3,0,1
