Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,19:10,20,7,12,58%,6,8,75%,0,0,0%,4,3,7,3,1,2,0,2
Maffioli,15:51,12,5,6,83%,2,3,67%,0,1,0%,1,1,2,4,1,0,0,2
Squassina,15:47,2,1,1,100%,0,0,0%,0,2,0%,0,1,1,2,3,0,0,1
Montanari,14:09,10,4,7,57%,1,2,50%,1,1,100%,1,3,4,3,1,0,0,0
Della,16:43,5,2,5,40%,1,3,33%,0,0,0%,2,1,3,1,0,0,0,1
Silva,11:22,6,3,6,50%,0,0,0%,0,0,0%,4,2,6,0,1,2,0,0
Orbon,17:40,9,4,4,100%,0,0,0%,1,3,33%,2,2,4,2,0,0,0,0
Maspero,16:51,12,5,5,100%,0,0,0%,2,2,100%,2,5,7,3,0,0,1,0
Cremona,16:45,0,0,3,0%,0,1,0%,0,0,0%,0,1,1,4,0,0,0,0
Cantù,18:19,5,2,8,25%,1,7,14%,0,0,0%,1,3,4,6,0,1,0,1
Portaro,17:09,5,2,5,40%,1,3,33%,0,0,0%,0,1,1,4,1,2,0,0
Ardizzoia,20:10,15,6,10,60%,3,6,50%,0,0,0%,1,2,3,2,1,1,0,0
