Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,31:57,13,5,10,50,2,4,50,1,4,25,0,4,4,4,1,0,0,4
Sorrentino,27:29,13,4,11,36,2,7,29,3,4,75,1,4,5,2,5,4,0,4
Maffioli,12:01,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,1,0,3
Montanari,03:10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Della,08:40,3,1,3,33,1,1,100,0,2,0,0,0,0,1,1,0,0,0
Silva,36:09,23,9,16,56,0,0,0,5,14,36,6,4,10,2,0,1,0,5
Orbon,08:23,4,2,2,100,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Maspero,18:44,5,2,3,67,0,0,0,1,2,50,1,7,8,1,0,1,0,2
Cremona,20:03,3,1,5,20,1,5,20,0,0,0,2,1,3,0,0,1,0,0
Cantù,19:00,3,1,9,11,1,8,12,0,0,0,0,1,1,2,0,0,0,2
Portaro,12:41,2,1,2,50,0,1,0,0,0,0,0,1,1,3,0,0,0,3
Ardizzoia,10:18,0,0,3,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1
