Name,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
Fernandez,25:46,22,9,19,47,1,7,14,3,4,75,3,3,6,4,3,0,1,0
Sorrentino,22:21,8,2,8,25,1,3,33,3,7,43,1,6,7,0,4,1,0,4
Maffioli,10:40,4,2,5,40,0,1,0,0,0,0,0,1,1,0,0,1,0,2
Squassina,10:19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
Sacchi,10:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Della,12:05,5,2,4,50,1,3,33,0,0,0,0,2,2,0,0,1,0,1
Orbon,27:53,8,3,8,38,0,0,0,2,6,33,4,2,6,1,1,3,1,4
Maspero,34:31,15,5,14,36,0,0,0,5,5,100,5,8,13,0,2,2,1,4
Pisati,12:54,2,1,3,33,0,1,0,0,0,0,2,3,5,0,0,0,0,2
Cantù,26:21,9,3,13,23,2,9,22,1,2,50,0,0,0,1,1,0,0,1
Portaro,12:33,3,0,1,0,0,0,0,3,4,75,0,3,3,0,1,0,0,3
